date,drive_count,drive_failures
2021-12-15,205777,11
2021-12-16,205773,9
2021-12-17,205773,5
2021-12-18,205776,8
2021-12-19,205770,6
2021-12-20,205740,12
2021-12-21,205746,11
2021-12-22,206989,10
2021-12-23,206991,1
2021-12-24,207000,6
2021-12-25,206997,5
2021-12-26,206993,7
2021-12-27,206959,3
2021-12-28,206931,4
2021-12-29,206969,5
2021-12-30,206960,3
2021-12-31,206928,9
2022-01-01,206954,3
2022-01-02,206903,7
2022-01-03,206948,8
2022-01-04,206983,6
2022-01-05,206965,6
2022-01-06,206965,12
2022-01-07,206843,4
2022-01-08,206903,5
2022-01-09,206873,4
2022-01-10,206990,5
2022-01-11,206994,12
2022-01-12,206987,9
2022-01-13,206986,6
2022-01-14,206985,4
2022-01-15,206968,1
2022-01-16,206970,9
2022-01-17,206989,4
2022-01-18,206955,9
2022-01-19,206924,9
2022-01-20,206990,13
2022-01-21,206993,9
2022-01-22,206935,3
2022-01-23,206935,8
2022-01-24,206934,3
2022-01-25,206997,6
2022-01-26,206996,7
2022-01-27,206994,4
2022-01-28,206997,8
2022-01-29,206995,7
2022-01-30,206995,7
2022-01-31,206996,7
2022-02-01,206994,2
2022-02-02,208219,13
2022-02-03,208209,5
2022-02-04,208215,6
2022-02-05,208289,8
2022-02-06,208289,5
2022-02-07,208290,4
2022-02-08,208727,9
2022-02-09,208722,8
2022-02-10,208756,5
2022-02-11,208725,8
2022-02-12,208756,7
2022-02-13,208753,5
2022-02-14,208754,3
2022-02-15,208757,7
2022-02-16,208755,6
2022-02-17,208750,6
2022-02-18,209290,6
2022-02-19,209296,10
2022-02-20,210516,4
2022-02-21,211735,2
2022-02-22,211733,5
2022-02-23,211699,8
2022-02-24,211675,3
2022-02-25,211670,6
2022-02-26,211730,4
2022-02-27,211728,13
2022-02-28,211723,4
2022-03-01,211725,10
2022-03-02,211727,11
2022-03-03,211725,9
2022-03-04,211646,15
2022-03-05,211725,10
2022-03-06,211722,5
2022-03-07,211612,4
